TradeDate,SettleDate,PortNum,Shortname,Longname,TransCd,chTrans_Description,Cusip,Ticker,Units,AssetPriceB,CommissionsLoc,IssueName1,MaturityDate,MoodyRating,AssetClass,AssetSubClass,GLDateBought,GLUnitCostB,LongDescription,ExDate,PayableDate,TXNMkVB,LongGL,ShortGL,StLongGL,StShortGL,status,RecodeDate,RatePerShare,TaxCd,TaxCdDesc,Amortization,checknum,ActName,Description,TRID,OrgTRID,Fees,Numerator,Denominator,OldUnits,NewUnits,MinSecClass,DescCD,category,subcategory,RuleNum,NetAmount,RGLFlag,UnknownDesc,SortOrderKey,PortfolioType
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.1,Adam Test INC,Adam Test INC,183,Cash Dividend,24527400,ABCIX,5854.116,22.4,0,AMERICAN BEACON LONDON INCOME EQUITY,,N/A,Equities,Other Equity,1/1/1900 0:00,0,"AMERICAN BEACON LONDON INCOME EQUITY CASH DIVIDEND 5,854.116 SHARES @ 0.0251 AMERICAN BEACON LONDON INCOME EQUITY REC DT 07/31/2024 PAY DT 08/02/2024 REGISTERED IN FIDELITY OMNIBUS CASH/REINVEST",8/1/2024 0:00,8/2/2024 0:00,0,0,0,0,0,Original,7/31/2024 0:00,0.0251,5,ORDINARY QUALIFYING DIVIDENDS,,,Adam Test,AMERICAN BEACON LONDON INCOME EQUITY,1-8/2/24-74-1,,0,,,,,92,183,Income,Cash Dividend,1,146.94,N,,1600,Income
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.1,Adam Test INC,Adam Test INC,8,Administrative Expenses,CASH,CASH,0,0,0,CASH,,,,Null,1/1/1900 0:00,0,FOR INVESTMENT TRANSFERRED TO PORTFOLIO 0026-06-4/5.2 PAID FOR DARIA S. PEW  MONTHLY INCOME DISTRIBUTION,1/1/1900 0:00,1/1/1900 0:00,0,0,0,0,0,Original,1/1/1900 0:00,,635,TRANSFER FROM PORTFOLIO,,,Adam Test,TRANSFERRED TO PORTFOLIO ,1-8/2/24-30-2,,0,,,,,1,5703,Transfers (OUT),Transfers (out),1,-74.48,N,,7800,Income
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.2,Adam Test INC,Adam Test INC,9,For Investment,CASH,CASH,0,0,0,CASH,,,,Null,1/1/1900 0:00,0,FOR INVESTMENT TRANSFERRED FROM PORTFOLIO 0026-06-4/5.1 MONTHLY INCOME DISTRIBUTION,1/1/1900 0:00,1/1/1900 0:00,0,0,0,0,0,Original,1/1/1900 0:00,,635,TRANSFER FROM PORTFOLIO,,,Adam Test,TRANSFERRED FROM PORTFOLIO ,1-8/2/24-30-3,,0,,,,,1,4603,Transfers (IN),Transfers (in),1,74.48,N,,7700,Principal
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.2,Adam Test PRI,Adam Test PRI,7,Scheduled Remittances,CASH,CASH,0,0,0,CASH,,,,Null,1/1/1900 0:00,0,SCHEDULED REMITTANCE PAID TO JAMES CUNNINGHAM PEW PO BOX 874 OURAY CO 81427  SCHEDULED MONTHLY REMITTANCE,1/1/1900 0:00,1/1/1900 0:00,0,0,0,0,0,Original,1/1/1900 0:00,,767,WITHDRAWAL BY OWNER,,,Adam Test,PAYMENT,1-8/2/24-28-42,,0,,,,,1,5201,Withdrawal By Owner,Scheduled Remittances,1,-2800,N,,1900,Principal
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.2,Adam Test PRI,Adam Test PRI,9,To Cover Disbursements,CASH,CASH,0,0,0,CASH,,,,Null,1/1/1900 0:00,0,TO COVER DISBURSEMENTS TRANSFERRED FROM PORTFOLIO 0049-00-1/6.84,1/1/1900 0:00,1/1/1900 0:00,0,0,0,0,0,Original,1/1/1900 0:00,,634,TRANSFER TO PORTFOLIO,,,Adam Test,TRANSFERRED FROM PORTFOLIO,1-8/2/24-104-62,,0,,,,,1,4602,Transfers (IN),Transfers (in),1,33194045.44,N,,7700,Principal
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.2,Adam Test PRI,Adam Test PRI,8,Non-Scheduled Remittances,CASH,CASH,0,0,0,CASH,,,,Null,1/1/1900 0:00,0,NON SCHEDULED REMITTANCE TRANSFERRED TO PORTFOLIO 6051-12-4/9.2 PAID FOR UNKNOWN TRANSFER OF INVESTMENT PROCEEDS TO PCT PARTNERS,1/1/1900 0:00,1/1/1900 0:00,0,0,0,0,0,Original,1/1/1900 0:00,,767,WITHDRAWAL BY OWNER,,,Adam Test,TRANSFERRED TO PORTFOLIO,1-8/2/24-104-75,,0,,,,,1,5202,Withdrawal By Owner,Non-Scheduled Remittances,1,-34481746,N,,2000,Principal
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.2,Adam Test PRI,Adam Test PRI,8,To Cover Disbursements,CASH,CASH,0,0,0,CASH,,,,Null,1/1/1900 0:00,0,TO COVER DISBURSEMENT TRANSFERRED TO PORTFOLIO 0049-00-1/6.2 PAID FOR UNKNOWN,1/1/1900 0:00,1/1/1900 0:00,0,0,0,0,0,Original,1/1/1900 0:00,,635,TRANSFER FROM PORTFOLIO,,,Adam Test,TRANSFERRED TO PORTFOLIO ,1-8/2/24-104-61,,0,,,,,1,5702,Transfers (OUT),Transfers (out),1,-33194045.44,N,,7800,Principal
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.2,Adam Test PRI,Adam Test PRI,9,To Cover Disbursements,CASH,CASH,0,0,0,CASH,,,,Null,1/1/1900 0:00,0,TO COVER DISBURSEMENTS TRANSFERRED FROM PORTFOLIO 0049-01-1/5.69,1/1/1900 0:00,1/1/1900 0:00,0,0,0,0,0,Original,1/1/1900 0:00,,634,TRANSFER TO PORTFOLIO,,,Adam Test,TRANSFERRED FROM PORTFOLIO ,1-8/2/24-104-64,,0,,,,,1,4602,Transfers (IN),Transfers (in),1,432972.89,N,,7700,Principal
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.2,Adam Test PRI,Adam Test PRI,8,Non-Scheduled Remittances,CASH,CASH,0,0,0,CASH,,,,Null,1/1/1900 0:00,0,NON SCHEDULED REMITTANCE TRANSFERRED TO PORTFOLIO 6051-12-4/9.2 PAID FOR UNKNOWN TRANSFER OF INVESTMENT PROCEEDS TO PCT PARTNERS,1/1/1900 0:00,1/1/1900 0:00,0,0,0,0,0,Original,1/1/1900 0:00,,767,WITHDRAWAL BY OWNER,,,Adam Test,TRANSFERRED TO PORTFOLIO ,1-8/2/24-104-77,,0,,,,,1,5202,Withdrawal By Owner,Non-Scheduled Remittances,1,-474229.6,N,,2000,Principal
8/2/2024 0:00,8/2/2024 0:00,9999-01-1/1.2,Adam Test PRI,Adam Test PRI,8,To Cover Disbursements,CASH,CASH,0,0,0,CASH,,,,Null,1/1/1900 0:00,0,TO COVER DISBURSEMENT TRANSFERRED TO PORTFOLIO 0049-01-1/5.2 PAID FOR UNKNOWN,1/1/1900 0:00,1/1/1900 0:00,0,0,0,0,0,Original,1/1/1900 0:00,,635,TRANSFER FROM PORTFOLIO,,,Adam Test,TRANSFERRED TO PORTFOLIO ,1-8/2/24-104-63,,0,,,,,1,5702,Transfers (OUT),Transfers (out),1,-432972.89,N,,7800,Principal
