iAccountId,empl_id,GPAcct,GPEmplId,AcctName,LastN,FirstN,PositionDesc,CoverageRole,Telephone,Fax
1,Wadvisor,9999-01-1/1,123,Adam Test,Advisor,Wealth, ,Wealth Advisor,(215)-123-4567,(267) 123-4567
2,Pmanager,9999-01-1/1,456,Adam Test,Manager,Portfolio,,Portfolio Manager,(215)-234-5678,(267) 234-5678
3,Wstrategist,9999-01-1/1,789,Adam Test,Strategist,Wealth,,Wealth Strategist,(215)-345-6789,(267) 345-6789
1,Wadvisor,9999-02-1/2,123,Susan Test,Advisor,Wealth, ,Wealth Advisor,(215)-123-4567,(267) 123-4567
2,Pmanager,9999-02-1/2,456,Susan Test,Manager,Portfolio,,Portfolio Manager,(215)-234-5678,(267) 234-5678
3,Wstrategist,9999-02-1/2,789,Susan Test,Strategist,Wealth,,Wealth Strategist,(215)-345-6789,(267) 345-6789
1,Wadvisor,9999-03-1/3,123,Tom Test,Advisor,Wealth,,Wealth Advisor,(215)-123-4567,(267) 123-4567
2,Pmanager,9999-03-1/3,456,Tom Test,Manager,Portfolio,,Portfolio Manager,(215)-234-5678,(267) 234-5678
3,Wstrategist,9999-03-1/3,789,Tom Test,Strategist,Wealth, ,Wealth Strategist,(215)-345-6789,(267) 345-6789
1,Wadvisor,9999-04-1/4,123,Laura Test,Advisor,Wealth, ,Wealth Advisor,(215)-123-4567,(267) 123-4567
2,Pmanager,9999-04-1/4,456,Laura Test,Manager,Portfolio, ,Portfolio Manager,(215)-234-5678,(267) 234-5678
3,Wstrategist,9999-04-1/4,789,Laura Test,Strategist,Wealth, ,Wealth Strategist,(215)-345-6789,(267) 345-6789
1,Wadvisor,9999-05-1/5,123,Mike Test,Advisor,Wealth,,Wealth Advisor,(215)-123-4567,(267) 123-4567
2,Pmanager,9999-05-1/5,456,Mike Test,Manager,Portfolio,,Portfolio Manager,(215)-234-5678,(267) 234-5678
3,Wstrategist,9999-05-1/5,789,Mike Test,Strategist,Wealth,,Wealth Strategist,(215)-345-6789,(267) 345-6789
1,Wadvisor,9999-06-1/6,123,Jennifer Test,Advisor,Wealth, ,Wealth Advisor,(215)-123-4567,(267) 123-4567
2,Pmanager,9999-06-1/6,456,Jennifer Test,Manager,Portfolio,,Portfolio Manager,(215)-234-5678,(267) 234-5678
3,Wstrategist,9999-06-1/6,789,Jennifer Test,Strategist,Wealth,,Wealth Strategist,(215)-345-6789,(267) 345-6789
